feature_value,shap_value,sample_index,feature_name,feature_chinese
0.7066410015210041,19.68903753267601,479,Temperature,温度
0.733077671046956,16.415752325113864,243,Temperature,温度
0.7590494811909201,30.987110426221044,273,Temperature,温度
0.7650901729331291,-80.21847456181422,415,Temperature,温度
0.8439368811754728,-53.14195799756795,317,Temperature,温度
0.9063029605776716,-24.4541182926856,383,Temperature,温度
0.9720918794377622,43.76854696560651,258,Temperature,温度
0.9830012682703736,-5.742988959699869,310,Temperature,温度
0.9941849491468157,73.65431772233919,248,Temperature,温度
1.0957371255213233,15.74672418039292,361,Temperature,温度
1.2035879521241553,51.242562558017674,319,Temperature,温度
1.329200555360628,30.98667882109061,100,Temperature,温度
1.3579143140164114,7.351512944772839,487,Temperature,温度
1.3994204724927275,60.51571690827608,249,Temperature,温度
1.4034953246745232,-10.173147173561155,120,Temperature,温度
1.4561195571973615,-6.337667206991464,375,Temperature,温度
1.467814354696132,-24.239553117640316,292,Temperature,温度
1.5022160743598785,3.8845163254626094,329,Temperature,温度
1.5167996087521816,-5.544011787790805,459,Temperature,温度
1.5525686359266937,62.52469237312675,296,Temperature,温度
1.6458119419484856,-22.021520928777754,336,Temperature,温度
1.6697658447307535,64.83000500341878,250,Temperature,温度
1.6731400118857516,27.259923820663243,284,Temperature,温度
1.6996846335860445,-13.760713557545095,436,Temperature,温度
1.7175103409939214,5.985901639182121,74,Temperature,温度
1.797400720104342,17.06791304908693,50,Temperature,温度
1.8815863527440693,57.61895681281574,264,Temperature,温度
1.8909061136990315,49.93083320185542,172,Temperature,温度
1.90468644999862,13.55528444956988,99,Temperature,温度
1.905837993646002,-15.487132584378124,339,Temperature,温度
1.9276636711598651,-1.4263830607943238,380,Temperature,温度
1.9505082799719289,12.545028955871238,288,Temperature,温度
1.952648852669962,-18.178218154590578,377,Temperature,温度
1.9681662003588665,-1.2795067315921187,390,Temperature,温度
1.9826664843196984,-31.22153814524412,486,Temperature,温度
2.0420483978177675,-13.106864207219333,379,Temperature,温度
2.045393270618609,-19.873190394565462,337,Temperature,温度
2.0708244026606346,18.84800149446353,239,Temperature,温度
2.0758836471804214,5.141585978940129,95,Temperature,温度
2.0892366352116705,32.94288460828364,263,Temperature,温度
2.089602233451294,-21.542546482812615,401,Temperature,温度
2.104835262667039,56.746732230596244,285,Temperature,温度
2.111648444554859,-21.56870256755501,315,Temperature,温度
2.14373901672663,62.12886507062242,501,Temperature,温度
2.1499736215972054,-10.676863653808832,343,Temperature,温度
2.192342577446808,-33.673644069153816,293,Temperature,温度
2.200605640438061,25.573323764186352,78,Temperature,温度
2.229796053707982,-14.654099300596863,434,Temperature,温度
2.2356710032670946,48.12523349842056,81,Temperature,温度
2.2747975900430446,-21.634503751173614,412,Temperature,温度
2.280861021762684,-17.494717663489283,313,Temperature,温度
2.3446394217986817,3.0497111802361907,242,Temperature,温度
2.3690619298534306,7.09566145952791,286,Temperature,温度
2.375269017179964,-24.4355634752661,387,Temperature,温度
2.439227810645634,17.902745423577727,259,Temperature,温度
2.4797245177506024,20.237076104283332,96,Temperature,温度
2.490836974754149,-15.237584617994726,374,Temperature,温度
2.5543299116704183,43.29036228451878,271,Temperature,温度
2.5775455007693626,-21.286745485886932,397,Temperature,温度
2.612754386564818,2.441154885124415,67,Temperature,温度
2.616773590708363,-29.754865407329053,382,Temperature,温度
2.642998776717424,1.0223199661076068,308,Temperature,温度
2.664062108500598,-17.68253076190129,411,Temperature,温度
2.697255877094188,-16.93168513402343,123,Temperature,温度
2.6981068105112893,-18.18821598401293,457,Temperature,温度
2.712856806881564,-20.932513607889415,344,Temperature,温度
2.7146356843676065,-8.126924151796848,425,Temperature,温度
2.72787975902752,-40.87367076488212,429,Temperature,温度
2.736455932121736,15.098613081090152,49,Temperature,温度
2.7382206821175625,-32.07594023490324,413,Temperature,温度
2.742060113419763,25.318541860980915,240,Temperature,温度
2.7513132322187897,30.24431771468371,360,Temperature,温度
2.755857746079281,-14.69294490262866,126,Temperature,温度
2.774694331995578,-32.66463388193399,1,Temperature,温度
2.789539359172807,7.5331349724903705,321,Temperature,温度
2.8021857806180983,-16.759080177396537,483,Temperature,温度
2.804327602369672,-21.36917236281559,63,Temperature,温度
