feature_value,shap_value,sample_index,feature_name,feature_chinese
13.0,-73.26268788073212,421,Hour,小时
13.0,-12.023730937130749,445,Hour,小时
13.0,73.2564178596437,469,Hour,小时
13.0,331.8335079903528,493,Hour,小时
14.0,216.07553625876085,14,Hour,小时
14.0,67.11292348438874,38,Hour,小时
14.0,31.745915768910198,62,Hour,小时
14.0,155.45473527822642,86,Hour,小时
14.0,122.10543465118855,110,Hour,小时
14.0,164.64123656202108,134,Hour,小时
14.0,191.4437189121172,158,Hour,小时
14.0,192.06467131650075,182,Hour,小时
14.0,20.362881578058005,206,Hour,小时
14.0,55.88632155992091,230,Hour,小时
14.0,170.24660296209157,254,Hour,小时
14.0,104.15969636067749,278,Hour,小时
14.0,61.66358948286623,302,Hour,小时
14.0,54.94556088661775,326,Hour,小时
14.0,100.09984064223245,350,Hour,小时
14.0,-26.45164663180709,374,Hour,小时
14.0,-45.9608069370687,398,Hour,小时
14.0,12.866786520853639,422,Hour,小时
14.0,88.20666339542717,446,Hour,小时
14.0,195.54976426128297,470,Hour,小时
14.0,382.4671953727305,494,Hour,小时
15.0,359.10144490966576,15,Hour,小时
15.0,305.91925920756535,39,Hour,小时
15.0,285.84124393546955,63,Hour,小时
15.0,371.0699547488242,87,Hour,小时
15.0,311.8038740703091,111,Hour,小时
15.0,355.8372187297419,135,Hour,小时
15.0,376.40008525971325,159,Hour,小时
15.0,344.1128056354262,183,Hour,小时
15.0,284.4996502028592,207,Hour,小时
15.0,317.43428323097527,231,Hour,小时
15.0,378.75989556238056,255,Hour,小时
15.0,328.19243880882857,279,Hour,小时
15.0,261.9579612709209,303,Hour,小时
15.0,240.0611040316336,327,Hour,小时
15.0,299.1511497938074,351,Hour,小时
15.0,194.51728381484747,375,Hour,小时
15.0,198.19128641709685,399,Hour,小时
15.0,242.3623280370608,423,Hour,小时
15.0,319.6616071934253,447,Hour,小时
15.0,390.32643450818955,471,Hour,小时
15.0,565.6646700061858,495,Hour,小时
16.0,506.94277236197144,16,Hour,小时
16.0,531.4493256509863,40,Hour,小时
16.0,529.6405365184509,64,Hour,小时
16.0,551.2079102690891,88,Hour,小时
16.0,506.00936073038724,112,Hour,小时
16.0,556.0458565834538,136,Hour,小时
16.0,552.4880268533155,160,Hour,小时
16.0,499.7855607074499,184,Hour,小时
16.0,472.7229227775522,208,Hour,小时
16.0,592.3664673960395,232,Hour,小时
16.0,558.8842672041059,256,Hour,小时
16.0,503.4981604925543,280,Hour,小时
16.0,477.98772277742626,304,Hour,小时
16.0,491.0250614759885,328,Hour,小时
16.0,556.142241170872,352,Hour,小时
16.0,469.7153539147228,376,Hour,小时
16.0,472.0792738640308,400,Hour,小时
16.0,476.7740994945914,424,Hour,小时
16.0,532.9287747226283,448,Hour,小时
16.0,605.9390062670037,472,Hour,小时
16.0,697.6974620657787,496,Hour,小时
17.0,493.28343047711996,17,Hour,小时
17.0,572.2364151940309,41,Hour,小时
17.0,557.0448387298546,65,Hour,小时
17.0,531.9695473223179,89,Hour,小时
17.0,510.1820117530972,113,Hour,小时
17.0,557.5779231780394,137,Hour,小时
17.0,556.7863677902147,161,Hour,小时
17.0,500.9332610916346,185,Hour,小时
17.0,523.8476632508077,209,Hour,小时
17.0,620.793923759032,233,Hour,小时
17.0,570.2711968973651,257,Hour,小时
17.0,542.2474885855243,281,Hour,小时
17.0,494.1871761941537,305,Hour,小时
17.0,485.6672815085016,329,Hour,小时
17.0,578.374362461809,353,Hour,小时
17.0,505.6781154251844,377,Hour,小时
17.0,513.8601724969595,401,Hour,小时
17.0,514.9540453646705,425,Hour,小时
17.0,563.7574852447957,449,Hour,小时
17.0,627.4697320605815,473,Hour,小时
17.0,677.5068978287652,497,Hour,小时
18.0,422.124403832946,18,Hour,小时
18.0,533.7126787924952,42,Hour,小时
18.0,542.0407255813666,66,Hour,小时
18.0,490.64176208809016,90,Hour,小时
18.0,469.12215596333147,114,Hour,小时
18.0,490.96725578917193,138,Hour,小时
18.0,491.59270647305993,162,Hour,小时
18.0,443.1455266664177,186,Hour,小时
18.0,484.11701159710066,210,Hour,小时
18.0,604.6046741949954,234,Hour,小时
18.0,500.61836567717603,258,Hour,小时
18.0,483.05256689121944,282,Hour,小时
18.0,470.69855154959487,306,Hour,小时
18.0,474.002591238264,330,Hour,小时
18.0,540.2369680934213,354,Hour,小时
18.0,510.4828029341623,378,Hour,小时
18.0,525.7267395843938,402,Hour,小时
18.0,492.3402964931727,426,Hour,小时
18.0,533.4407064639777,450,Hour,小时
18.0,605.1632072595507,474,Hour,小时
18.0,625.3879048708454,498,Hour,小时
19.0,370.0636449379101,19,Hour,小时
19.0,477.80344289554284,43,Hour,小时
19.0,478.51659841531887,67,Hour,小时
19.0,400.30600723929706,91,Hour,小时
19.0,370.3024463805184,115,Hour,小时
19.0,404.02643223455175,139,Hour,小时
19.0,406.1701099713519,163,Hour,小时
19.0,382.23887054249644,187,Hour,小时
19.0,448.7899232877977,211,Hour,小时
19.0,557.6366767104902,235,Hour,小时
19.0,430.7414923126064,259,Hour,小时
19.0,384.54412258083,283,Hour,小时
19.0,399.1266726032458,307,Hour,小时
19.0,402.1040250344388,331,Hour,小时
19.0,465.4773217476718,355,Hour,小时
19.0,452.04340433280913,379,Hour,小时
19.0,484.21728103131056,403,Hour,小时
19.0,429.8573876227811,427,Hour,小时
19.0,458.69289411492645,451,Hour,小时
19.0,500.1052181108296,475,Hour,小时
19.0,530.9438673641905,499,Hour,小时
20.0,204.57362773101778,20,Hour,小时
20.0,300.03972892737016,44,Hour,小时
20.0,355.3096603063308,68,Hour,小时
20.0,237.89330599687995,92,Hour,小时
20.0,222.81889803387224,116,Hour,小时
20.0,239.5389976467751,140,Hour,小时
20.0,245.51613009858877,164,Hour,小时
20.0,209.82808094896376,188,Hour,小时
20.0,294.18704382592813,212,Hour,小时
20.0,426.9577600282617,236,Hour,小时
